1,Enter: Naruto Uzumaki!,Canon
2,My Name is Konohamaru!,Canon
3,Sasuke and Sakura: Friends or Foes?,Canon
4,Pass or Fail: Survival Test,Canon
5,You Failed! Kakashi's Final Decision,Canon
6,A Dangerous Mission! Journey to the Land of Waves!,Canon
7,The Assassin of the Mist!,Canon
8,The Oath of Pain,Canon
9,Kakashi: Sharingan Warrior,Canon
10,The Forest of Chakra,Canon
11,The Land Where a Hero Once Lived,Canon
12,Battle on the Bridge! Zabuza Returns!!,Canon
13,Haku's Secret Jutsu: Crystal Ice Mirrors,Canon
14,"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!!",Canon
15,Zero Visibility: The Sharingan Shatters,Canon
16,The Broken Seal,Canon
17,White Past: Hidden Ambition,Canon
18,The Weapons Known as Shinobi,Canon
19,The Demon in the Snow,Canon
20,A New Chapter Begins: The Chunin Exam!,Canon
21,Identify Yourself: Powerful New Rivals,Canon
22,Chunin Challenge: Rock Lee vs. Sasuke!,Canon
23,Genin Takedown! All Nine Rookies Face Off!,Canon
24,Start Your Engines: The Chunin Exam Begins!,Canon
25,The Tenth Question: All or Nothing!,Canon
26,Special Report: Live from the Forest of Death!,Filler
27,The Chunin Exam Stage 2: The Forest of Death,Canon
28,Eat or be Eaten: Panic in the Forest,Canon
29,Naruto's Counterattack: Never Give In!,Canon
30,The Sharingan Revived: Dragon-Flame Jutsu!,Canon
31,Bushy Brow's Pledge: Undying Love and Protection!,Canon
32,Sakura Blossoms!,Canon
33,Battle Formation: Ino-Shika-Cho!,Canon
34,Akamaru Trembles: Gaara's Cruel Strength!,Canon
35,The Scroll's Secret: No Peeking Allowed,Canon
36,Clone vs. Clone: Mine are Better than Yours!,Canon
37,Surviving the Cut! The Rookie Nine Together Again!,Canon
38,Narrowing the Field: Sudden Death Elimination!,Canon
39,Bushy Brow's Jealousy: Lions Barrage Unleashed!,Canon
40,Kakashi and Orochimaru: Face-to-Face!,Mostly Canon
41,Kunoichi Rumble: The Rivals Get Serious!,Canon
42,The Ultimate Battle: Cha!,Canon
43,Killer Kunoichi and a Shaky Shikamaru,Canon
44,Akamaru Unleashed! Who's Top Dog Now?,Canon
45,Surprise Attack! Naruto's Secret Weapon!,Canon
46,Byakugan Battle: Hinata Grows Bold!,Canon
47,A Failure Stands Tall!,Canon
48,Gaara vs. Rock Lee: The Power of Youth Explodes!,Canon
49,Lee's Hidden Strength: Forbidden Secret Jutsu!,Canon
50,The Fifth Gate: A Splendid Ninja is Born,Canon
51,A Shadow in Darkness: Danger Approaches Sasuke,Canon
52,Ebisu Returns: Naruto's Toughest Training Yet!,Mostly Canon
53,Long Time No See: Jiraiya Returns!,Mostly Canon
54,The Summoning Jutsu: Wisdom of the Toad Sage!,Canon
55,"A Feeling of Yearning, A Flower Full of Hope",Mostly Canon
56,Live or Die: Risk it All to Win it All!,Canon
57,He Flies! He Jumps! He Lurks! Chief Toad Appears!,Mostly Canon
58,Hospital Besieged: The Evil Hand Revealed!,Canon
59,The Final Rounds: Rush to the Battle Arena!,Mostly Canon
60,Byakugan vs. Shadow Clone,Canon
61,Ultimate Defense: Zero Blind Spot!,Canon
62,A Failure's True Power,Canon
63,Hit it or Quit it: The Final Rounds Get Complicated!,Canon
64,Zero Motivation: The Guy with Cloud Envy!,Canon
65,"Dancing Leaf, Squirming Sand",Canon
66,Bushy Brow's Jutsu: Sasuke Style!,Canon
67,"Late for the Show, But Ready to Go! The Ultimate Secret Technique is Born!",Canon
68,Zero Hour! The Destruction of the Hidden Leaf Village Begins!,Canon
69,Village in Distress: A New A-Ranked Mission!,Canon
70,A Shirker's Call to Action: A Layabout No More!,Canon
71,An Unrivaled Match: Hokage Battle Royale!,Canon
